query_id,query,song_id,rating
25,You had no right to tell me you ever had feelings for me.,TRAPVGB128F42725AF,-1
25,You had no right to tell me you ever had feelings for me.,TRALENG12903D111A5,1
25,You had no right to tell me you ever had feelings for me.,TRACFJZ128F422BC5C,0
25,You had no right to tell me you ever had feelings for me.,TRASZCZ128F145529A,1
25,You had no right to tell me you ever had feelings for me.,TRAUJEV128F42AACAA,2
25,You had no right to tell me you ever had feelings for me.,TRABTDP128F424D00B,-1
25,You had no right to tell me you ever had feelings for me.,TRAVWPM128F92F3DCC,2
25,You had no right to tell me you ever had feelings for me.,TRAWCZL128F1460324,1
25,You had no right to tell me you ever had feelings for me.,TRBDUXD128F148328A,0
25,You had no right to tell me you ever had feelings for me.,TRBEIZM128F145BA2D,1
25,You had no right to tell me you ever had feelings for me.,TRBJWFX128F92F70B4,1
25,You had no right to tell me you ever had feelings for me.,TRBLVQO128F1463656,2
25,You had no right to tell me you ever had feelings for me.,TRASCDB128F9302C7D,1
25,You had no right to tell me you ever had feelings for me.,TRABIOA128F42A6DB1,-1
25,You had no right to tell me you ever had feelings for me.,TRACEHO128F1488CEA,2
25,You had no right to tell me you ever had feelings for me.,TRAFMBS128F423B54E,0
25,You had no right to tell me you ever had feelings for me.,TRAMMDM128F425EAA9,0
25,You had no right to tell me you ever had feelings for me.,TRANKTK128E07921D9,0
25,You had no right to tell me you ever had feelings for me.,TRANWKE128F92E24AF,-1
25,You had no right to tell me you ever had feelings for me.,TRAONNA128F4268CCA,-2
25,You had no right to tell me you ever had feelings for me.,TRASKHL128F1476819,-1
25,You had no right to tell me you ever had feelings for me.,TRAVDBM128EF35E257,-1
25,You had no right to tell me you ever had feelings for me.,TRAVSWL128F9314EDA,-1
25,You had no right to tell me you ever had feelings for me.,TRAXETS128F9312727,-2
25,You had no right to tell me you ever had feelings for me.,TRAZQET128F42A0449,-1
25,You had no right to tell me you ever had feelings for me.,TRBBVTP128F93041FE,-1
25,You had no right to tell me you ever had feelings for me.,TRBFQYQ128F428FFB5,0
25,You had no right to tell me you ever had feelings for me.,TRBHJXD128F14628B5,1
25,You had no right to tell me you ever had feelings for me.,TRBHUBJ128E0782174,-1
25,You had no right to tell me you ever had feelings for me.,TRBMRAI128F427B204,2
25,You had no right to tell me you ever had feelings for me.,TRBOXGY128F426029C,1
25,You had no right to tell me you ever had feelings for me.,TRBPBOM128F9309C56,0
25,You had no right to tell me you ever had feelings for me.,TRBQJVO128F92FE30A,0
25,You had no right to tell me you ever had feelings for me.,TRBVIHD128F42BA0DF,-1
25,You had no right to tell me you ever had feelings for me.,TRBYQCX128F92FCB6D,-1
25,You had no right to tell me you ever had feelings for me.,TRADJBK128F1453605,1
25,You had no right to tell me you ever had feelings for me.,TRAMPDH128F426C002,0
25,You had no right to tell me you ever had feelings for me.,TRAUXDX128F934210A,-1
25,You had no right to tell me you ever had feelings for me.,TRBKZNZ128F9350D22,-1
25,You had no right to tell me you ever had feelings for me.,TRBXUWB128F149DA2D,-1
25,You had no right to tell me you ever had feelings for me.,TRBYYES128F92FCA09,0
25,You had no right to tell me you ever had feelings for me.,TRAMXOB128F424DE88,0
25,You had no right to tell me you ever had feelings for me.,TRANWKE128F92E24AF,-2
25,You had no right to tell me you ever had feelings for me.,TRAOHNH128F427262A,0
25,You had no right to tell me you ever had feelings for me.,TRAOPAF128F146C883,0
25,You had no right to tell me you ever had feelings for me.,TRAOXYO128F4298612,-1
25,You had no right to tell me you ever had feelings for me.,TRAOXGW128F933AF95,1
25,You had no right to tell me you ever had feelings for me.,TRAOZOW128F9341F45,0
25,You had no right to tell me you ever had feelings for me.,TRAPUGS128F42A04EA,0
25,You had no right to tell me you ever had feelings for me.,TRAQZJA128F1484D43,-2
32,"Oh, it's so romantic to send people off on their honeymoon.",TRAEUFF128F424EAAF,2
32,"Oh, it's so romantic to send people off on their honeymoon.",TRAQBHJ128E0794F0B,2
32,"Oh, it's so romantic to send people off on their honeymoon.",TRBGBQR128F148663C,0
32,"Oh, it's so romantic to send people off on their honeymoon.",TRBJVVL128F931E1BF,0
32,"Oh, it's so romantic to send people off on their honeymoon.",TRAOVRC128F14917FF,-2
